2023-06-27,0
2023-06-29,6510
2023-07-03,27963
2023-07-04,52657
2023-07-05,74424
2023-07-06,88299
2023-07-07,95186
2023-07-10,94848
2023-07-11,90469
2023-07-12,82009
2023-07-13,72443
2023-07-14,61634
2023-07-17,52331
2023-07-18,43000
2023-07-19,34987
2023-07-20,28087
2023-07-21,22260
2023-07-24,17594
2023-07-25,13406
2023-07-26,10453
2023-07-27,8021
2023-07-28,5938
2023-07-31,4542
2023-08-01,3428
2023-08-02,2567
2023-08-03,1893
2023-08-04,1320
2023-08-07,1045
2023-08-08,716
2023-08-09,539
2023-08-10,387
2023-08-11,257
2023-08-14,235
2023-08-15,156
2023-08-16,112
2023-08-17,71
2023-08-18,75
2023-08-21,35
2023-08-22,26
2023-08-23,19
2023-08-24,22
2023-08-25,8
2023-08-28,11
2023-08-29,3
2023-08-30,1
2023-08-31,4
2023-09-01,0
2023-09-04,2
2023-09-05,2
2023-09-06,3
2023-09-07,0
2023-09-08,2
